graph,scenario,gamma_u,q,estimator,gate,bias,sd,rmse,reps
synthetic,S2,1.0,0.2,IPW-alloc,0.0026019468617708413,-0.025053100337047426,6.443058214014145,6.443106921898133,1000
synthetic,S2,1.0,0.3,EARL,0.0026019468617708413,-0.02521023996216893,5.135072577536717,5.135134461021302,1000
synthetic,S2,1.0,0.3,EARL-centred,0.0026019468617708413,-0.35060246558347496,8.004108977784014,8.011783984676313,1000
synthetic,S2,1.0,0.3,ERL-drop,0.0026019468617708413,-0.00938443479189018,1.540521773261015,1.5405503566932257,1000
synthetic,S2,1.0,0.3,IPW-assign,0.0026019468617708413,-0.010736147345097874,1.5559655030589379,1.556002542275966,1000
synthetic,S2,1.0,0.3,IPW-alloc,0.0026019468617708413,1.3307262665328654,41.49461733886112,41.51594995293922,1000
synthetic,S2,1.0,0.4,EARL,0.0026019468617708413,0.1505244408122427,4.2799668538560605,4.282612973102798,1000
synthetic,S2,1.0,0.4,EARL-centred,0.0026019468617708413,0.11559785999732831,6.824935227452829,6.825914131027621,1000
synthetic,S2,1.0,0.4,ERL-drop,0.0026019468617708413,0.058648608207834484,1.7119867415424244,1.7129910281323029,1000
synthetic,S2,1.0,0.4,IPW-assign,0.0026019468617708413,0.06904597642696342,1.7288117438708543,1.7301899874310154,1000
synthetic,S2,1.0,0.4,IPW-alloc,0.0026019468617708413,1.0735235268118901,37.79537951951665,37.81062239354065,1000
synthetic,S2,1.0,0.5,EARL,0.0026019468617708413,0.16990231488383675,3.8033814741040155,3.8071744685738427,1000
synthetic,S2,1.0,0.5,EARL-centred,0.0026019468617708413,-0.1775712182160061,6.759411819619241,6.761743834599697,1000
synthetic,S2,1.0,0.5,ERL-drop,0.0026019468617708413,0.08365018401103295,1.9016907370520078,1.903529619594738,1000
synthetic,S2,1.0,0.5,IPW-assign,0.0026019468617708413,0.06780074466152877,1.9423599098766189,1.9435428887659167,1000
synthetic,S2,1.0,0.5,IPW-alloc,0.0026019468617708413,0.6435479876084563,48.258714153733344,48.26300493943677,1000
synthetic,S2,1.0,0.6,EARL,0.0026019468617708413,-0.10613345658354609,3.1800280146190745,3.1817986241068907,1000
synthetic,S2,1.0,0.6,EARL-centred,0.0026019468617708413,-0.16213366215469568,6.609499352723875,6.611487655441929,1000
synthetic,S2,1.0,0.6,ERL-drop,0.0026019468617708413,-0.06472085269483592,1.9080168087714444,1.9091141745133824,1000
synthetic,S2,1.0,0.6,IPW-assign,0.0026019468617708413,-0.06392683315932084,1.93341777386764,1.9344743286756432,1000
synthetic,S2,1.0,0.6,IPW-alloc,0.0026019468617708413,-0.12037742778834937,8.634391392540824,8.635230480114819,1000
synthetic,S2,1.0,0.7,EARL,0.0026019468617708413,0.008858547905324215,2.8323283105410506,2.8323421637512856,1000
synthetic,S2,1.0,0.7,EARL-centred,0.0026019468617708413,-0.2947942646818637,6.595470434834471,6.6020552796280745,1000
synthetic,S2,1.0,0.7,ERL-drop,0.0026019468617708413,0.005420399475195665,1.9826298173787356,1.9826372268999968,1000
synthetic,S2,1.0,0.7,IPW-assign,0.0026019468617708413,0.01786393628518758,2.076320890944111,2.076397737041376,1000
synthetic,S2,1.0,0.7,IPW-alloc,0.0026019468617708413,-0.15470512732340824,6.307478567503512,6.309375528206917,1000
synthetic,S2,1.0,0.8,EARL,0.0026019468617708413,0.024810999599091825,2.6858781110894183,2.6859927053754946,1000
synthetic,S2,1.0,0.8,EARL-centred,0.0026019468617708413,0.0745039667539831,7.716217897633648,7.716577575896189,1000
synthetic,S2,1.0,0.8,ERL-drop,0.0026019468617708413,0.019328410306919203,2.1487024888715345,2.148789420377837,1000
synthetic,S2,1.0,0.8,IPW-assign,0.0026019468617708413,-0.005593004776550146,2.3472541507958717,2.3472608142536866,1000
synthetic,S2,1.0,0.8,IPW-alloc,0.0026019468617708413,-0.0003423647716556603,4.961272480053744,4.9612724918666045,1000
synthetic,S2,1.0,0.9,EARL,0.0026019468617708413,0.016529370298305347,2.38229553249816,2.3823528756763026,1000
synthetic,S2,1.0,0.9,EARL-centred,0.0026019468617708413,0.2502148349869826,9.850193857500571,9.853371326301955,1000
synthetic,S2,1.0,0.9,ERL-drop,0.0026019468617708413,0.014616238582297858,2.144065979248344,2.1441157985986803,1000
synthetic,S2,1.0,0.9,IPW-assign,0.0026019468617708413,0.002306726861145105,2.356168196413247,2.3561693255744727,1000
synthetic,S2,1.0,0.9,IPW-alloc,0.0026019468617708413,0.08223083874579684,3.1244467020515487,3.125528612059348,1000
synthetic,S2,1.0,1.0,EARL,0.0026019468617708413,-0.07010748755162888,2.170814987439133,2.171946769490718,1000
synthetic,S2,1.0,1.0,EARL-centred,0.0026019468617708413,-0.07010748755162888,2.170814987439133,2.171946769490718,1000
synthetic,S2,1.0,1.0,ERL-drop,0.0026019468617708413,-0.07010748755162888,2.170814987439133,2.171946769490718,1000
synthetic,S2,1.0,1.0,IPW-assign,0.0026019468617708413,0.0196100853680104,2.511598920359084,2.5116754750956694,1000
synthetic,S2,1.0,1.0,IPW-alloc,0.0026019468617708413,0.0196100853680104,2.511598920359084,2.5116754750956694,1000
synthetic,S3,1.0,0.1,EARL,0.0,-2.571827269564094,1.6331654067183743,3.046559493949707,1000
synthetic,S3,1.0,0.1,EARL-centred,0.0,-2.464248280025665,3.7811522282115235,4.513272843349759,1000
synthetic,S3,1.0,0.1,ERL-drop,0.0,-0.2571827269564094,0.16331654067183746,0.30465594939497076,1000
synthetic,S3,1.0,0.1,IPW-assign,0.0,-0.2578296424893229,0.16613127434965747,0.30671766310927256,1000
synthetic,S3,1.0,0.1,IPW-alloc,0.0,0.04815894015392115,4.812419156089305,4.812660118625878,1000
synthetic,S3,1.0,0.2,EARL,0.0,-2.2677181996647895,0.7850777032709629,2.399769329178145,1000
synthetic,S3,1.0,0.2,EARL-centred,0.0,-1.71451011593786,2.8474447781757717,3.323775970551223,1000
synthetic,S3,1.0,0.2,ERL-drop,0.0,-0.45354363993295793,0.15701554065419263,0.47995386583562905,1000
synthetic,S3,1.0,0.2,IPW-assign,0.0,-0.4544252173378061,0.16977966691911303,0.4851055693884346,1000
synthetic,S3,1.0,0.2,IPW-alloc,0.0,-0.23442146805854636,4.838837961498837,4.844513003628841,1000
synthetic,S3,1.0,0.3,EARL,0.0,-1.9845685357700227,0.3984315994830249,2.024168968400359,1000
synthetic,S3,1.0,0.3,EARL-centred,0.0,-1.1198880897592827,2.617966725668291,2.847437288210409,1000
synthetic,S3,1.0,0.3,ERL-drop,0.0,-0.5953705607310068,0.11952947984490744,0.6072506905201077,1000
